game,game_label,record_type,source_name,source_url,code,code_variants,redemption_url,status,is_redeemable_now,has_expired,expires_in,added_at_utc,added_at_output_tz,start_at_utc,end_at_utc,start_at_output_tz,end_at_output_tz,rewards,raw_rewards
genshin,Genshin Impact,code,Crimson Witch,https://www.crimsonwitch.com/codes/Genshin_Impact,LIVESTREAM CODE 3,[],https://genshin.hoyoverse.com/en/gift?code=LIVESTREAM+CODE+3,scheduled,False,False,8d 8h 38m,2026-03-25T12:47:08.784821+00:00,2026-03-25T12:47:08.784821+00:00,2026-05-08T12:00:00+00:00,2026-05-11T03:59:59+00:00,2026-05-08T12:00:00+00:00,2026-05-11T03:59:59+00:00,"[{""item"": ""Primogem"", ""qty"": 100}, {""item"": ""Mora"", ""qty"": 50000}]","[""Primogem x100"", ""Mora x50000""]"
genshin,Genshin Impact,code,Crimson Witch,https://www.crimsonwitch.com/codes/Genshin_Impact,LIVESTREAM CODE 2,[],https://genshin.hoyoverse.com/en/gift?code=LIVESTREAM+CODE+2,scheduled,False,False,8d 8h 38m,2026-03-25T12:47:15.670149+00:00,2026-03-25T12:47:15.670149+00:00,2026-05-08T12:00:00+00:00,2026-05-11T03:59:59+00:00,2026-05-08T12:00:00+00:00,2026-05-11T03:59:59+00:00,"[{""item"": ""Primogem"", ""qty"": 100}, {""item"": ""Hero's Wit"", ""qty"": 5}]","[""Primogem x100"", ""Hero's Wit x5""]"
genshin,Genshin Impact,code,Crimson Witch,https://www.crimsonwitch.com/codes/Genshin_Impact,LIVESTREAM CODE 1,[],https://genshin.hoyoverse.com/en/gift?code=LIVESTREAM+CODE+1,scheduled,False,False,8d 8h 38m,2026-03-25T12:47:18.864029+00:00,2026-03-25T12:47:18.864029+00:00,2026-05-08T12:00:00+00:00,2026-05-11T03:59:59+00:00,2026-05-08T12:00:00+00:00,2026-05-11T03:59:59+00:00,"[{""item"": ""Primogem"", ""qty"": 100}, {""item"": ""Mystic Enhancement Ore"", ""qty"": 10}]","[""Primogem x100"", ""Mystic Enhancement Ore x10""]"
genshin,Genshin Impact,code,Ennead + Crimson Witch,https://api.ennead.cc/mihoyo/genshin/codes,PSCA8NL4ZSPD,"[""G5HS7EMI47D0""]",https://genshin.hoyoverse.com/en/gift?code=PSCA8NL4ZSPD,active,True,False,,2026-03-30T14:37:50.736121+00:00,2026-03-30T14:37:50.736121+00:00,,,,,"[{""item"": ""Primogem"", ""qty"": 60}, {""item"": ""Adventurer's Experience"", ""qty"": 5}]","[""Primogem x60"", ""Adventurer's Experience x5""]"
genshin,Genshin Impact,code,Ennead + Crimson Witch,https://api.ennead.cc/mihoyo/genshin/codes,A0NBWRZZI3XJ,[],https://genshin.hoyoverse.com/en/gift?code=A0NBWRZZI3XJ,active,True,False,,2026-04-23T19:44:10.450098+00:00,2026-04-23T19:44:10.450098+00:00,,,,,"[{""item"": ""Primogem"", ""qty"": 20}, {""item"": ""Geode of Replication"", ""qty"": 160}]","[""Primogem x20"", ""Geode of Replication x160""]"
genshin,Genshin Impact,code,Ennead + Crimson Witch,https://api.ennead.cc/mihoyo/genshin/codes,FEOMBCVX6UO7,[],https://genshin.hoyoverse.com/en/gift?code=FEOMBCVX6UO7,active,True,False,,2026-04-29T08:46:15.403781+00:00,2026-04-29T08:46:15.403781+00:00,,,,,"[{""item"": ""Mora"", ""qty"": 10000}, {""item"": ""Adventurer's Experience"", ""qty"": 10}, {""item"": ""Fine Enhancement Ore"", ""qty"": 5}, {""item"": ""Jueyun Chili Chicken"", ""qty"": 5}, {""item"": ""Stir-Fried Fish Noodles"", ""qty"": 5}]","[""Mora x10000"", ""Adventurer's Experience x10"", ""Fine Enhancement Ore x5"", ""Jueyun Chili Chicken x5"", ""Stir-Fried Fish Noodles x5""]"
genshin,Genshin Impact,code,Ennead + Crimson Witch,https://api.ennead.cc/mihoyo/genshin/codes,FAIRYGIRLLINNEA,[],https://genshin.hoyoverse.com/en/gift?code=FAIRYGIRLLINNEA,inactive,False,True,0d 0h 0m,2026-04-08T08:44:00.573365+00:00,2026-04-08T08:44:00.573365+00:00,,2026-04-28T15:59:59+00:00,,2026-04-28T15:59:59+00:00,"[{""item"": ""Primogem"", ""qty"": 30}, {""item"": ""Mora"", ""qty"": 20000}, {""item"": ""Tattered Warrant"", ""qty"": 3}]","[""Primogem x30"", ""Mora x20000"", ""Tattered Warrant x3""]"
genshin,Genshin Impact,code,Ennead,https://api.ennead.cc/mihoyo/genshin/codes,0FQBAJNXCUFU,[],https://genshin.hoyoverse.com/en/gift?code=0FQBAJNXCUFU,inactive,False,True,,,,,,,,"[{""item"": ""Primogem"", ""qty"": 60}, {""item"": ""Adventurer's Experience"", ""qty"": 5}]","[""Primogem \u00d760"", ""Adventurer's Experience \u00d75""]"
genshin,Genshin Impact,code,Ennead,https://api.ennead.cc/mihoyo/genshin/codes,11KU0MNDK2RG,[],https://genshin.hoyoverse.com/en/gift?code=11KU0MNDK2RG,inactive,False,True,,,,,,,,"[{""item"": ""Primogem"", ""qty"": 60}, {""item"": ""Adventurer's Experience"", ""qty"": 5}]","[""Primogem \u00d760"", ""Adventurer's Experience \u00d75""]"
genshin,Genshin Impact,code,Ennead,https://api.ennead.cc/mihoyo/genshin/codes,1203KUUNRUKOUS,[],https://genshin.hoyoverse.com/en/gift?code=1203KUUNRUKOUS,inactive,False,True,,,,,,,,"[{""item"": ""Primogem"", ""qty"": 100}, {""item"": ""Mystic Enhancement Ore"", ""qty"": 10}]","[""Primogem \u00d7100"", ""Mystic Enhancement Ore \u00d710""]"
genshin,Genshin Impact,code,Ennead,https://api.ennead.cc/mihoyo/genshin/codes,3SXYPDLD3FYV,[],https://genshin.hoyoverse.com/en/gift?code=3SXYPDLD3FYV,inactive,False,True,,,,,,,,"[{""item"": ""Mora"", ""qty"": 5000}, {""item"": ""Adventurer's Experience"", ""qty"": 2}, {""item"": ""Mystic Enhancement Ore"", ""qty"": 2}]","[""Mora \u00d75,000"", ""Adventurer's Experience \u00d72"", ""Mystic Enhancement Ore \u00d72""]"
genshin,Genshin Impact,code,Ennead,https://api.ennead.cc/mihoyo/genshin/codes,4BWU6FCNYUSH,[],https://genshin.hoyoverse.com/en/gift?code=4BWU6FCNYUSH,inactive,False,True,,,,,,,,"[{""item"": ""Primogem"", ""qty"": 30}, {""item"": ""Glowing Hornshroom"", ""qty"": 3}, {""item"": ""Mora"", ""qty"": 20000}]","[""Primogem \u00d730"", ""Glowing Hornshroom \u00d73"", ""Mora \u00d720,000""]"
